"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2018-01-03",0.7,917.508958333333,1.05,0.873818055555555,0.333455197080523,291483.9674,6619725.92413
"2",2,"2018-01-03",0.7,911.9425,1.05,0.868516666666667,0.331432149301291,291483.9674,6619725.92413
"3",3,"2018-01-03",0.7,912.633166666667,1.05,0.869174444444445,0.331683161988806,291483.9674,6619725.92413
"4",4,"2017-09-05",0.4,491.367666666667,0.6,0.818946111111111,0.413419374523497,291483.9674,6619725.92413
"5",5,"2017-09-05",0.4,488.104666666667,0.6,0.813507777777778,0.410674001739363,291483.9674,6619725.92413
"6",6,"2017-09-05",0.4,493.503333333333,0.6,0.822505555555555,0.415216248915973,291483.9674,6619725.92413
"7",7,"2017-11-09",0.57,783.9552,0.855,0.916906666666667,0.387751243181775,291483.9674,6619725.92413
"8",8,"2017-11-09",0.57,785.5115375,0.855,0.918726944444444,0.388521021608444,291483.9674,6619725.92413
"9",9,"2017-11-09",0.57,784.594075,0.855,0.917653888888889,0.38806723646237,291483.9674,6619725.92413
"10",10,"2017-12-15",0.22,184.967125,0.315,0.587197222222222,0.409109760894493,291483.9674,6619725.92413
"11",11,"2017-12-15",0.22,184.2001,0.315,0.584762222222222,0.407413257181468,291483.9674,6619725.92413
"12",12,"2017-12-15",0.22,183.064,0.315,0.581155555555556,0.40490043443336,291483.9674,6619725.92413
"13",13,"2017-11-30",0.49,629.933791666667,0.735,0.857052777777778,0.390908418274932,291483.9674,6619725.92413
"14",14,"2017-11-30",0.49,626.432741666667,0.735,0.852289444444445,0.388735825002582,291483.9674,6619725.92413
"15",15,"2017-11-30",0.49,623.492741666667,0.735,0.848289444444445,0.386911393983113,291483.9674,6619725.92413
